icd10code,icd10codedescr,disease_new,disease_name_new,disease_number_new
P23.8,Congenital pneumonia due to other organisms,Other or unspecified infectious organisms,oth_organisms,172
B94.9,Sequelae of unspecified infectious or parasitic disease,Other or unspecified infectious organisms,oth_organisms,172
M60.0,Infective myositis,Other or unspecified infectious organisms,oth_organisms,172
N77.0,Ulceration of vulva in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
I43.0,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
H13.1,Conjunctivitis in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
N29.1,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
G02.8,Meningitis in other specified infectious and parasitic diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
I30.1,Infective pericarditis,Other or unspecified infectious organisms,oth_organisms,172
J85,Abscess of lung and mediastinum,Other or unspecified infectious organisms,oth_organisms,172
N30.8,Other cystitis,Other or unspecified infectious organisms,oth_organisms,172
M63.2,Myositis in other infectious diseases classified elsewhere,Other or unspecified infectious organisms,oth_organisms,172
A96,Arenaviral haemorrhagic fever,Infections of Other or unspecified organs,oth_organs,164
A06.9,"Amoebiasis, unspecified",Infections of Other or unspecified organs,oth_organs,164
A48,"Other bacterial diseases, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
B02.7,Disseminated zoster,Infections of Other or unspecified organs,oth_organs,164
B76,Hookworm diseases,Infections of Other or unspecified organs,oth_organs,164
B00.7,Disseminated herpesviral disease,Infections of Other or unspecified organs,oth_organs,164
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Infections of Other or unspecified organs,oth_organs,164
B74,Filariasis,Infections of Other or unspecified organs,oth_organs,164
A56.8,Sexually transmitted chlamydial infection of other sites,Infections of Other or unspecified organs,oth_organs,164
A18.8,Tuberculosis of other specified organs,Infections of Other or unspecified organs,oth_organs,164
B37.0,Candidal stomatitis,Infections of Other or unspecified organs,oth_organs,164
B78.7,Disseminated strongyloidiasis,Infections of Other or unspecified organs,oth_organs,164
J09,Influenza due to identified avian influenza virus,Infections of Other or unspecified organs,oth_organs,164
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
A21.9,"Tularaemia, unspecified",Infections of Other or unspecified organs,oth_organs,164
A54.8,Other gonococcal infections,Infections of Other or unspecified organs,oth_organs,164
B25.8,Other cytomegaloviral diseases,Infections of Other or unspecified organs,oth_organs,164
A52.8,"Late syphilis, latent",Infections of Other or unspecified organs,oth_organs,164
A69,Other spirochaetal infections,Infections of Other or unspecified organs,oth_organs,164
A51.4,Other secondary syphilis,Infections of Other or unspecified organs,oth_organs,164
A78,Q fever,Infections of Other or unspecified organs,oth_organs,164
A42.1,Abdominal actinomycosis,Infections of Other or unspecified organs,oth_organs,164
A39.8,Other meningococcal infections,Infections of Other or unspecified organs,oth_organs,164
A39.9,"Meningococcal infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
A42.8,Other forms of actinomycosis,Infections of Other or unspecified organs,oth_organs,164
A43.8,Other forms of nocardiosis,Infections of Other or unspecified organs,oth_organs,164
A27,Leptospirosis,Infections of Other or unspecified organs,oth_organs,164
A22.9,"Anthrax, unspecified",Infections of Other or unspecified organs,oth_organs,164
B33.3,"Retrovirus infections, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
B90.8,Sequelae of tuberculosis of other organs,Infections of Other or unspecified organs,oth_organs,164
B33.0,Epidemic myalgia,Infections of Other or unspecified organs,oth_organs,164
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,Infections of Other or unspecified organs,oth_organs,164
B39.3,Disseminated histoplasmosis capsulati,Infections of Other or unspecified organs,oth_organs,164
A50,Congenital syphilis,Infections of Other or unspecified organs,oth_organs,164
B58.8,Toxoplasmosis with other organ involvement,Infections of Other or unspecified organs,oth_organs,164
A02.8,Other specified salmonella infections,Infections of Other or unspecified organs,oth_organs,164
M63.0,Myositis in bacterial diseases classified elsewhere,Infections of Other or unspecified organs,oth_organs,164
G94.0,Hydrocephalus in infectious and parasitic diseases classified elsewhere,Infections of Other or unspecified organs,oth_organs,164
B67.6,"Echinococcus multilocularis infection, other and multiple sites",Infections of Other or unspecified organs,oth_organs,164
A19,Miliary tuberculosis,Infections of Other or unspecified organs,oth_organs,164
J11.1,"Influenza with other respiratory manifestations, virus not identified",Infections of Other or unspecified organs,oth_organs,164
B46.9,"Zygomycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
G63.0,Polyneuropathy in infectious and parasitic diseases classified elsewhere,Infections of Other or unspecified organs,oth_organs,164
A92,Other mosquito-borne viral fevers,Infections of Other or unspecified organs,oth_organs,164
A49,Bacterial infection of unspecified site,Infections of Other or unspecified organs,oth_organs,164
B50.9,"Plasmodium falciparum malaria, unspecified",Infections of Other or unspecified organs,oth_organs,164
A43.9,"Nocardiosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
M73.1,Syphilitic bursitis,Infections of Other or unspecified organs,oth_organs,164
A70,Chlamydia psittaci infection,Infections of Other or unspecified organs,oth_organs,164
B44.9,"Aspergillosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B44.8,Other forms of aspergillosis,Infections of Other or unspecified organs,oth_organs,164
A42.2,Cervicofacial actinomycosis,Infections of Other or unspecified organs,oth_organs,164
B55.0,Visceral leishmaniasis,Infections of Other or unspecified organs,oth_organs,164
A31.9,"Mycobacterial infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
B33.8,Other specified viral diseases,Infections of Other or unspecified organs,oth_organs,164
A95,Yellow fever,Infections of Other or unspecified organs,oth_organs,164
B42.8,Other forms of sporotrichosis,Infections of Other or unspecified organs,oth_organs,164
B94.8,Sequelae of other specified infectious and parasitic diseases,Infections of Other or unspecified organs,oth_organs,164
B45.8,Other forms of cryptococcosis,Infections of Other or unspecified organs,oth_organs,164
J11.8,"Influenza with other manifestations, virus not identified",Infections of Other or unspecified organs,oth_organs,164
B60,"Other protozoal diseases, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
B39.5,Histoplasmosis duboisii,Infections of Other or unspecified organs,oth_organs,164
B39.4,"Histoplasmosis capsulati, unspecified",Infections of Other or unspecified organs,oth_organs,164
B45.7,Disseminated cryptococcosis,Infections of Other or unspecified organs,oth_organs,164
A51.2,Primary syphilis of other sites,Infections of Other or unspecified organs,oth_organs,164
B37.9,"Candidiasis, unspecified",Infections of Other or unspecified organs,oth_organs,164
J10.8,"Influenza with other manifestations, other influenza virus identified",Infections of Other or unspecified organs,oth_organs,164
J85.3,Abscess of mediastinum,Infections of Other or unspecified organs,oth_organs,164
B72,Dracunculiasis,Infections of Other or unspecified organs,oth_organs,164
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Infections of Other or unspecified organs,oth_organs,164
B47.0,Eumycetoma,Infections of Other or unspecified organs,oth_organs,164
M68.0,Synovitis and tenosynovitis in bacterial diseases classified elsewhere,Infections of Other or unspecified organs,oth_organs,164
B78.9,"Strongyloidiasis, unspecified",Infections of Other or unspecified organs,oth_organs,164
P39.8,Other specified infections specific to the perinatal period,Infections of Other or unspecified organs,oth_organs,164
A31.8,Other mycobacterial infections,Infections of Other or unspecified organs,oth_organs,164
B58.9,"Toxoplasmosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Infections of Other or unspecified organs,oth_organs,164
A68,Relapsing fevers,Infections of Other or unspecified organs,oth_organs,164
B65,Schistosomiasis [bilharziasis],Infections of Other or unspecified organs,oth_organs,164
B98.1,Vibrio vulnificus as the cause of diseases classified to other chapters,Infections of Other or unspecified organs,oth_organs,164
B90.9,Sequelae of respiratory and unspecified tuberculosis,Infections of Other or unspecified organs,oth_organs,164
A30,Leprosy [Hansen's disease],Infections of Other or unspecified organs,oth_organs,164
B99,Other and unspecified infectious diseases,Infections of Other or unspecified organs,oth_organs,164
A64,Unspecified sexually transmitted disease,Infections of Other or unspecified organs,oth_organs,164
B92,Sequelae of leprosy,Infections of Other or unspecified organs,oth_organs,164
B33.1,Ross River disease,Infections of Other or unspecified organs,oth_organs,164
B42.9,"Sporotrichosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B77,Ascariasis,Infections of Other or unspecified organs,oth_organs,164
B52,Plasmodium malariae malaria,Infections of Other or unspecified organs,oth_organs,164
B46.8,Other zygomycoses,Infections of Other or unspecified organs,oth_organs,164
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Infections of Other or unspecified organs,oth_organs,164
A02.2,Localized salmonella infections,Infections of Other or unspecified organs,oth_organs,164
B40.7,Disseminated blastomycosis,Infections of Other or unspecified organs,oth_organs,164
A59.8,Trichomoniasis of other sites,Infections of Other or unspecified organs,oth_organs,164
B50.8,Other severe and complicated Plasmodium falciparum malaria,Infections of Other or unspecified organs,oth_organs,164
A51.5,"Early syphilis, latent",Infections of Other or unspecified organs,oth_organs,164
A90,Dengue fever [classical dengue],Infections of Other or unspecified organs,oth_organs,164
B43.9,"Chromomycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B64,Unspecified protozoal disease,Infections of Other or unspecified organs,oth_organs,164
M65.1,Other infective (teno)synovitis,Infections of Other or unspecified organs,oth_organs,164
B68,Taeniasis,Infections of Other or unspecified organs,oth_organs,164
B00.9,"Herpesviral infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
A20.8,Other forms of plague,Infections of Other or unspecified organs,oth_organs,164
M71.1,Other infective bursitis,Infections of Other or unspecified organs,oth_organs,164
B00.8,Other forms of herpesviral infection,Infections of Other or unspecified organs,oth_organs,164
B69.8,Cysticercosis of other sites,Infections of Other or unspecified organs,oth_organs,164
A65,Nonvenereal syphilis,Infections of Other or unspecified organs,oth_organs,164
B05.8,Measles with other complications,Infections of Other or unspecified organs,oth_organs,164
A98,"Other viral haemorrhagic fevers, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
A21.8,Other forms of tularaemia,Infections of Other or unspecified organs,oth_organs,164
B38.9,"Coccidioidomycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B44.7,Disseminated aspergillosis,Infections of Other or unspecified organs,oth_organs,164
B41.8,Other forms of paracoccidioidomycosis,Infections of Other or unspecified organs,oth_organs,164
A06.8,Amoebic infection of other sites,Infections of Other or unspecified organs,oth_organs,164
A26.8,Other forms of erysipeloid,Infections of Other or unspecified organs,oth_organs,164
B83,Other helminthiases,Infections of Other or unspecified organs,oth_organs,164
B75,Trichinellosis,Infections of Other or unspecified organs,oth_organs,164
G53.1,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,Infections of Other or unspecified organs,oth_organs,164
A36.8,Other diphtheria,Infections of Other or unspecified organs,oth_organs,164
B33.4,Hantavirus (cardio-)pulmonary syndrome,Infections of Other or unspecified organs,oth_organs,164
A91,Dengue haemorrhagic fever,Infections of Other or unspecified organs,oth_organs,164
B73,Onchocerciasis,Infections of Other or unspecified organs,oth_organs,164
J37,Chronic laryngitis and laryngotracheitis,Infections of Other or unspecified organs,oth_organs,164
G04.1,Tropical spastic paraplegia,Infections of Other or unspecified organs,oth_organs,164
A36.9,"Diphtheria, unspecified",Infections of Other or unspecified organs,oth_organs,164
B69.9,"Cysticercosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
A25,Rat-bite fevers,Infections of Other or unspecified organs,oth_organs,164
P37,Other congenital infectious and parasitic diseases,Infections of Other or unspecified organs,oth_organs,164
A53,Other and unspecified syphilis,Infections of Other or unspecified organs,oth_organs,164
A38,Scarlet fever,Infections of Other or unspecified organs,oth_organs,164
A77,Spotted fever [tick-borne rickettsioses],Infections of Other or unspecified organs,oth_organs,164
M63.2,Myositis in other infectious diseases classified elsewhere,Infections of Other or unspecified organs,oth_organs,164
A67,Pinta [carate],Infections of Other or unspecified organs,oth_organs,164
A02.9,"Salmonella infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
A44,Bartonellosis,Infections of Other or unspecified organs,oth_organs,164
B39.9,"Histoplasmosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
A75,Typhus fever,Infections of Other or unspecified organs,oth_organs,164
B49,Unspecified mycosis,Infections of Other or unspecified organs,oth_organs,164
B67.9,"Echinococcosis, other and unspecified",Infections of Other or unspecified organs,oth_organs,164
B02.9,Zoster without complication,Infections of Other or unspecified organs,oth_organs,164
A32.8,Other forms of listeriosis,Infections of Other or unspecified organs,oth_organs,164
B71,Other cestode infections,Infections of Other or unspecified organs,oth_organs,164
M65.0,Abscess of tendon sheath,Infections of Other or unspecified organs,oth_organs,164
B48,"Other mycoses, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
M71.0,Abscess of bursa,Infections of Other or unspecified organs,oth_organs,164
B46.1,Rhinocerebral mucormycosis,Infections of Other or unspecified organs,oth_organs,164
B45.9,"Cryptococcosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B01.9,Varicella without complication,Infections of Other or unspecified organs,oth_organs,164
B66,Other fluke infections,Infections of Other or unspecified organs,oth_organs,164
B02.8,Zoster with other complications,Infections of Other or unspecified organs,oth_organs,164
A42.9,"Actinomycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
A59.9,"Trichomoniasis, unspecified",Infections of Other or unspecified organs,oth_organs,164
A99,Unspecified viral haemorrhagic fever,Infections of Other or unspecified organs,oth_organs,164
B67.3,"Echinococcus granulosus infection, other and multiple sites",Infections of Other or unspecified organs,oth_organs,164
A20.9,"Plague, unspecified",Infections of Other or unspecified organs,oth_organs,164
A21.7,Generalised tularaemia,Infections of Other or unspecified organs,oth_organs,164
B26.9,Mumps without complication,Infections of Other or unspecified organs,oth_organs,164
B97,Viral agents as the cause of diseases classified to other chapters,Infections of Other or unspecified organs,oth_organs,164
P39.9,"Infection specific to the perinatal period, unspecified",Infections of Other or unspecified organs,oth_organs,164
B40.8,Other forms of blastomycosis,Infections of Other or unspecified organs,oth_organs,164
A94,Unspecified arthropod-borne viral fever,Infections of Other or unspecified organs,oth_organs,164
B41.9,"Paracoccidioidomycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B79,Trichuriasis,Infections of Other or unspecified organs,oth_organs,164
B87.8,Myiasis of other sites,Infections of Other or unspecified organs,oth_organs,164
A93,"Other arthropod-borne viral fevers, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
A52.9,"Late syphilis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B87.9,"Myiasis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B25.9,"Cytomegaloviral disease, unspecified",Infections of Other or unspecified organs,oth_organs,164
A52.7,Other symptomatic late syphilis,Infections of Other or unspecified organs,oth_organs,164
B43.8,Other forms of chromomycosis,Infections of Other or unspecified organs,oth_organs,164
B05.9,Measles without complication,Infections of Other or unspecified organs,oth_organs,164
A74.8,Other chlamydial diseases,Infections of Other or unspecified organs,oth_organs,164
B47.9,"Mycetoma, unspecified",Infections of Other or unspecified organs,oth_organs,164
A22.8,Other forms of anthrax,Infections of Other or unspecified organs,oth_organs,164
B47.1,Actinomycetoma,Infections of Other or unspecified organs,oth_organs,164
A51.9,"Early syphilis, unspecified",Infections of Other or unspecified organs,oth_organs,164
A23,Brucellosis,Infections of Other or unspecified organs,oth_organs,164
B37.8,Candidiasis of other sites,Infections of Other or unspecified organs,oth_organs,164
B25.2,Cytomegaloviral pancreatitis,Infections of Other or unspecified organs,oth_organs,164
B89,Unspecified parasitic disease,Infections of Other or unspecified organs,oth_organs,164
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,Infections of Other or unspecified organs,oth_organs,164
B54,Unspecified malaria,Infections of Other or unspecified organs,oth_organs,164
J10.1,"Influenza with other respiratory manifestations, other influenza virus identified",Infections of Other or unspecified organs,oth_organs,164
A32.9,"Listeriosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B57,Chagas' disease,Infections of Other or unspecified organs,oth_organs,164
B24,Unspecified human immunodeficiency virus [HIV] disease,Infections of Other or unspecified organs,oth_organs,164
A35,Other tetanus,Infections of Other or unspecified organs,oth_organs,164
G53.0,Postzoster neuralgia,Infections of Other or unspecified organs,oth_organs,164
A74.9,"Chlamydial infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Infections of Other or unspecified organs,oth_organs,164
A66,Yaws,Infections of Other or unspecified organs,oth_organs,164
B70,Diphyllobothriasis and sparganosis,Infections of Other or unspecified organs,oth_organs,164
B41.7,Disseminated paracoccidioidomycosis,Infections of Other or unspecified organs,oth_organs,164
B53,Other parasitologically confirmed malaria,Infections of Other or unspecified organs,oth_organs,164
A24,Glanders and melioidosis,Infections of Other or unspecified organs,oth_organs,164
B40.9,"Blastomycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
P39.2,"Intra-amniotic infection of fetus, not elsewhere classified",Infections of Other or unspecified organs,oth_organs,164
A26.9,"Erysipeloid, unspecified",Infections of Other or unspecified organs,oth_organs,164
A63.8,Other specified predominantly sexually transmitted diseases,Infections of Other or unspecified organs,oth_organs,164
B42.7,Disseminated sporotrichosis,Infections of Other or unspecified organs,oth_organs,164
B80,Enterobiasis,Infections of Other or unspecified organs,oth_organs,164
B67.7,"Echinococcus multilocularis infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
P35,Congenital viral diseases,Infections of Other or unspecified organs,oth_organs,164
B38.8,Other forms of coccidioidomycosis,Infections of Other or unspecified organs,oth_organs,164
B46.4,Disseminated mucormycosis,Infections of Other or unspecified organs,oth_organs,164
M60.0,Infective myositis,Infections of Other or unspecified organs,oth_organs,164
B06.8,Rubella with other complications,Infections of Other or unspecified organs,oth_organs,164
A54.9,"Gonococcal infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
B55.9,"Leishmaniasis, unspecified",Infections of Other or unspecified organs,oth_organs,164
B51,Plasmodium vivax malaria,Infections of Other or unspecified organs,oth_organs,164
B06.9,Rubella without complication,Infections of Other or unspecified organs,oth_organs,164
B01.8,Varicella with other complications,Infections of Other or unspecified organs,oth_organs,164
A18.7,Tuberculosis of adrenal glands,Infections of Other or unspecified organs,oth_organs,164
B26.8,Mumps with other complications,Infections of Other or unspecified organs,oth_organs,164
B34,Viral infection of unspecified site,Infections of Other or unspecified organs,oth_organs,164
B94.9,Sequelae of unspecified infectious or parasitic disease,Infections of Other or unspecified organs,oth_organs,164
B38.7,Disseminated coccidioidomycosis,Infections of Other or unspecified organs,oth_organs,164
A79,Other rickettsioses,Infections of Other or unspecified organs,oth_organs,164
B67.4,"Echinococcus granulosus infection, unspecified",Infections of Other or unspecified organs,oth_organs,164
B46.5,"Mucormycosis, unspecified",Infections of Other or unspecified organs,oth_organs,164
P39.0,Neonatal infective mastitis,Infections of Other or unspecified organs,oth_organs,164
B55.2,Mucocutaneous leishmaniasis,Infections of Other or unspecified organs,oth_organs,164
M72.6,Necrotizing fasciitis,Infections of Other or unspecified organs,oth_organs,164
K86.3,Pseudocyst of pancreas,Pancreatitis,pancreatitis,76
K86.1,Other chronic pancreatitis,Pancreatitis,pancreatitis,76
K86.0,Alcohol-induced chronic pancreatitis,Pancreatitis,pancreatitis,76
K85,Acute pancreatitis,Pancreatitis,pancreatitis,76
B87,Myiasis,Parasitic infections,parasitic,173
B81,"Other intestinal helminthiases, not elsewhere classified",Parasitic infections,parasitic,173
B80,Enterobiasis,Parasitic infections,parasitic,173
B89,Unspecified parasitic disease,Parasitic infections,parasitic,173
B82,Unspecified intestinal parasitism,Parasitic infections,parasitic,173
B56,African trypanosomiasis,Parasitic infections,parasitic,173
B83,Other helminthiases,Parasitic infections,parasitic,173
B74,Filariasis,Parasitic infections,parasitic,173
K23.1,Megaoesophagus in Chagas' disease,Parasitic infections,parasitic,173
B72,Dracunculiasis,Parasitic infections,parasitic,173
B85,Pediculosis and phthiriasis,Parasitic infections,parasitic,173
J17.3,Pneumonia in parasitic diseases,Parasitic infections,parasitic,173
A59,Trichomoniasis,Parasitic infections,parasitic,173
B88,Other infestations,Parasitic infections,parasitic,173
B86,Scabies,Parasitic infections,parasitic,173
B58,Toxoplasmosis,Parasitic infections,parasitic,173
B57,Chagas' disease,Parasitic infections,parasitic,173
P37.1,Congenital toxoplasmosis,Parasitic infections,parasitic,173
B53,Other parasitologically confirmed malaria,Parasitic infections,parasitic,173
A06,Amoebiasis,Parasitic infections,parasitic,173
B71,Other cestode infections,Parasitic infections,parasitic,173
B78,Strongyloidiasis,Parasitic infections,parasitic,173
B52,Plasmodium malariae malaria,Parasitic infections,parasitic,173
B64,Unspecified protozoal disease,Parasitic infections,parasitic,173
B73,Onchocerciasis,Parasitic infections,parasitic,173
B77,Ascariasis,Parasitic infections,parasitic,173
B66,Other fluke infections,Parasitic infections,parasitic,173
B70,Diphyllobothriasis and sparganosis,Parasitic infections,parasitic,173
B65,Schistosomiasis [bilharziasis],Parasitic infections,parasitic,173
B51,Plasmodium vivax malaria,Parasitic infections,parasitic,173
B79,Trichuriasis,Parasitic infections,parasitic,173
B60,"Other protozoal diseases, not elsewhere classified",Parasitic infections,parasitic,173
B54,Unspecified malaria,Parasitic infections,parasitic,173
B55,Leishmaniasis,Parasitic infections,parasitic,173
A07,Other protozoal intestinal diseases,Parasitic infections,parasitic,173
B69,Cysticercosis,Parasitic infections,parasitic,173
B76,Hookworm diseases,Parasitic infections,parasitic,173
B67,Echinococcosis,Parasitic infections,parasitic,173
B68,Taeniasis,Parasitic infections,parasitic,173
B50,Plasmodium falciparum malaria,Parasitic infections,parasitic,173
B75,Trichinellosis,Parasitic infections,parasitic,173
G20,Parkinson's disease,Parkinson's disease,parkinsons,224
F02.3,Dementia in Parkinson's disease,Parkinson's disease,parkinsons,224
E28.2,Polycystic ovarian syndrome,Polycystic ovarian syndrome,pcos,88
F61,Mixed and other personality disorders,Personality disorders,pd,190
F60,Specific personality disorders,Personality disorders,pd,190
I26,Pulmonary embolism,Pulmonary embolism,pe,38
I31.3,Pericardial effusion (noninflammatory),Pericardial effusion (noninflammatory),pericardial_effusion,35
G56.4,Causalgia,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G62,Other polyneuropathies,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G56.2,Lesion of ulnar nerve,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G56.3,Lesion of radial nerve,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
M49.4,Neuropathic spondylopathy,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
E85.1,Neuropathic heredofamilial amyloidosis,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G61,Inflammatory polyneuropathy,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G64,Other disorders of peripheral nervous system,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G56.9,"Mononeuropathy of upper limb, unspecified",Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G56.1,Other lesions of median nerve,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
M14.6,Neuropathic arthropathy,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G57,Mononeuropathies of lower limb,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G58,Other mononeuropathies,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G60,Hereditary and idiopathic neuropathy,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G59,Mononeuropathy in diseases classified elsewhere,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G63,Polyneuropathy in diseases classified elsewhere,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
G56.8,Other mononeuropathies of upper limb,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),periph_neuro,225
I74.5,Embolism and thrombosis of iliac artery,Peripheral arterial disease,peripheral_arterial_disease,36
I74.3,Embolism and thrombosis of arteries of lower extremities,Peripheral arterial disease,peripheral_arterial_disease,36
I74.4,"Embolism and thrombosis of arteries of extremities, unspecified",Peripheral arterial disease,peripheral_arterial_disease,36
I73.9,"Peripheral vascular disease, unspecified",Peripheral arterial disease,peripheral_arterial_disease,36
I73.8,Other specified peripheral vascular diseases,Peripheral arterial disease,peripheral_arterial_disease,36
I73.1,Thromboangiitis obliterans [Buerger],Peripheral arterial disease,peripheral_arterial_disease,36
K35.3,Acute appendicitis with localized peritonitis,Peritonitis,peritonitis,78
K26.6,Duodenal ulcer - Chronic or unspecified with both haemorrhage and perforation,Peritonitis,peritonitis,78
K28.2,Gastrojejunal ulcer - Acute with both haemorrhage and perforation,Peritonitis,peritonitis,78
K25.2,Gastric ulcer - Acute with both haemorrhage and perforation,Peritonitis,peritonitis,78
K63.1,Perforation of intestine (nontraumatic),Peritonitis,peritonitis,78
K28.6,Gastrojejunal ulcer - Chronic or unspecified with both haemorrhage and perforation,Peritonitis,peritonitis,78
K25.5,Gastric ulcer - Chronic or unspecified with perforation,Peritonitis,peritonitis,78
K67,Disorders of peritoneum in infectious diseases classified elsewhere,Peritonitis,peritonitis,78
K27.6,"Peptic ulcer, site unspecified - Chronic or unspecified with both haemorrhage and perforation",Peritonitis,peritonitis,78
K27.5,"Peptic ulcer, site unspecified - Chronic or unspecified with perforation",Peritonitis,peritonitis,78
K28.1,Gastrojejunal ulcer - Acute with perforation,Peritonitis,peritonitis,78
K28.5,Gastrojejunal ulcer - Chronic or unspecified with perforation,Peritonitis,peritonitis,78
K26.2,Duodenal ulcer - Acute with both haemorrhage and perforation,Peritonitis,peritonitis,78
K26.1,Duodenal ulcer - Acute with perforation,Peritonitis,peritonitis,78
K57.0,Diverticular disease of small intestine with perforation and abscess,Peritonitis,peritonitis,78
K26.5,Duodenal ulcer - Chronic or unspecified with perforation,Peritonitis,peritonitis,78
K57.2,Diverticular disease of large intestine with perforation and abscess,Peritonitis,peritonitis,78
K65,Peritonitis,Peritonitis,peritonitis,78
K27.2,"Peptic ulcer, site unspecified - Acute with both haemorrhage and perforation",Peritonitis,peritonitis,78
K25.1,Gastric ulcer - Acute with perforation,Peritonitis,peritonitis,78
K35.2,Acute appendicitis with generalized peritonitis,Peritonitis,peritonitis,78
K57.8,"Diverticular disease of intestine, part unspecified, with perforation and abscess",Peritonitis,peritonitis,78
K57.4,Diverticular disease of both small and large intestine with perforation and abscess,Peritonitis,peritonitis,78
K25.6,Gastric ulcer - Chronic or unspecified with both haemorrhage and perforation,Peritonitis,peritonitis,78
K27.1,"Peptic ulcer, site unspecified - Acute with perforation",Peritonitis,peritonitis,78
N74,Female pelvic inflammatory disorders in diseases classified elsewhere,Female pelvic inflammatory disease,pid,156
N72,Inflammatory disease of cervix uteri,Female pelvic inflammatory disease,pid,156
N71,"Inflammatory disease of uterus, except cervix",Female pelvic inflammatory disease,pid,156
N73,Other female pelvic inflammatory diseases,Female pelvic inflammatory disease,pid,156
N70,Salpingitis and oophoritis,Female pelvic inflammatory disease,pid,156
L05,Pilonidal cyst,Pilonidal cyst/sinus,pilonidal,234
J91,Pleural effusion in conditions classified elsewhere,Pleural effusion,pleural_effusion,131
J90,"Pleural effusion, not elsewhere classified",Pleural effusion,pleural_effusion,131
J92.0,Pleural plaque with presence of asbestos,Pleural plaque,pleural_plaque,132
J92.9,Pleural plaque without asbestos,Pleural plaque,pleural_plaque,132
